#;LINEARobjectID;LCtype  ;  P;A;mmed;stdev;rms;Lchi2pdf;nObs;skew;kurt;LR;CUF;t2;t3
;7386353;4;0.457589;0.63;16.52;0.19;0.15;0.514;179;1.46;1.82;0.13;1;0;0
;7386855;5;0.342661;0.43;14.85;0.16;0.2;1.765;241;0.48;-0.37;1.544;1;0;0
;7387202;5;0.408857;0.4;14.4;0.11;0.09;1.694;232;1.54;1.85;1.208;1;0;0
;7389657;4;0.642988;0.5;15.85;0.18;0.15;1.168;522;2.87;9.19;0.572;1;0;0
;7390345;4;0.870236;0.48;14.75;0.16;0.17;1.844;527;2.59;6.39;1.21;1;0;0
;7391221;2;0.347277;0.37;15.89;0.13;0.17;1.252;506;0.21;-1.25;1.088;1;0;0
;7394173;5;0.307129;0.49;14.86;0.16;0.22;2.079;511;0.92;-0.26;1.864;1;0;0
;7402949;5;0.28322;0.53;15.39;0.17;0.23;1.719;491;0.72;-0.74;1.54;1;0;0
;7402989;4;0.802916;1.34;15.37;0.5;0.4;2.059;492;3.05;10.37;1.521;1;0;0
;7405066;6;0.063348;0.72;16.37;0.24;0.31;1.643;544;-0.77;-0.5;1.347;1;0;0
;7405702;5;0.312832;0.38;14.14;0.12;0.15;2.388;489;0.32;-0.22;2.116;2;2;0
;7410527;5;0.249238;0.61;14.71;0.22;0.3;2.418;346;0.28;-1.17;2.29;1;0;0
;7410910;5;0.536529;0.37;15.19;0.1;0.09;1.455;151;-0.24;0.17;1.085;2;2;0
;7411446;1;0.54259;0.64;14.82;0.23;0.32;2.601;538;-0.24;-1.4;2.403;1;0;0
;7411461;1;0.467032;0.98;16.56;0.31;0.36;1.722;552;-0.56;-0.63;1.284;1;0;0
;7420913;2;0.350972;0.36;14.74;0.12;0.17;1.946;272;0.26;-1.37;1.807;1;0;0
;7435552;5;0.280718;0.56;16.58;0.17;0.14;0.701;194;1.38;0.99;0.357;2;4;0
;7435571;5;0.291271;0.38;15.53;0.12;0.15;1.328;121;0.2;-0.95;1.099;3;0;0
;7439187;2;0.342123;0.44;16.87;0.14;0.16;0.515;186;0.17;-0.53;0.219;1;0;0
;7439947;0;-9.9;0.43;15.86;0.16;0.16;1.106;40;1;0.22;0.864;1;0;0
;7440550;5;0.259001;0.47;16.68;0.16;0.2;0.597;190;0.83;0.79;0.423;1;0;0
;7443719;1;0.551276;0.77;14.79;0.23;0.25;2.662;220;-0.96;0.12;2.223;1;0;0
;7444130;5;0.284162;0.67;14.98;0.23;0.29;2.176;189;0.86;-0.64;2.009;1;0;0
;7449961;5;0.233152;0.34;16.02;0.11;0.15;0.984;562;0.52;-0.71;0.801;1;0;0
;7450622;5;0.249956;0.36;16.04;0.12;0.16;0.999;606;0.5;-0.91;0.814;1;0;0
;7455728;4;0.734176;0.32;14.22;0.11;0.14;2.219;513;1.92;4.03;1.804;2;5;0
;7455952;1;0.510714;0.86;16.74;0.32;0.32;1.387;504;1.22;8.29;0.999;1;0;0
;7471929;1;0.571067;0.69;15.32;0.22;0.28;2.288;641;-0.42;-0.96;1.983;1;0;0
;7475626;2;0.31753;0.37;15;0.13;0.17;1.93;680;0.11;-1.4;1.787;1;0;0
;7477110;1;0.587103;0.59;15.27;0.19;0.24;2.142;606;-0.26;-0.98;1.819;1;0;0
;7481696;4;0.72929;0.38;15.5;0.15;0.14;1.308;598;3.45;12.29;0.294;1;0;0
;7484655;5;0.461787;0.47;14.93;0.16;0.21;1.966;585;1.37;2.53;1.725;2;4;0
;7491132;2;0.307848;0.45;16.75;0.15;0.19;0.762;654;0.15;-0.61;0.569;1;0;0
;7510192;1;0.647053;0.6;15.9;0.19;0.25;1.66;561;-0.51;-0.73;1.394;1;0;0
;7510936;4;4.035444;0.36;14.64;0.11;0.15;1.801;579;2.08;4.07;1.386;1;0;0
;7519479;2;0.351012;0.43;16.36;0.14;0.18;0.934;560;0.09;-0.88;0.713;1;0;0
;7526955;6;0.070076;0.5;15.52;0.2;0.18;1.521;205;1.37;6.84;1.182;1;0;0
;7527829;2;0.362231;0.5;14.37;0.15;0.16;2.373;246;-0.62;-0.16;1.991;1;0;0
;7532224;5;0.25281;0.48;15.18;0.16;0.2;1.701;264;0.82;-0.48;1.448;1;0;0
;7535651;1;0.594803;0.75;15.85;0.28;0.3;1.964;263;0.37;5.68;1.513;1;0;0
;7539257;4;0.695616;0.53;14.93;0.16;0.1;1.616;277;2.43;5.82;1.085;2;5;0
;7543125;5;0.335968;0.65;14.36;0.22;0.29;2.513;285;0.73;-0.82;2.341;1;0;0
;7545954;1;0.555948;0.81;14.95;0.28;0.36;2.708;228;-0.67;-0.88;2.558;1;0;0
;7546570;1;0.655482;0.4;14.91;0.12;0.15;1.735;273;-0.56;-0.45;1.495;1;0;0
;7553128;1;0.622803;0.4;15.98;0.14;0.17;1.009;213;0.05;-1.03;0.807;1;0;0
;7555727;2;0.392965;0.41;15.72;0.16;0.19;1.154;260;1.15;3.51;1.015;1;0;0
;7559485;1;0.565148;0.69;16.51;0.21;0.22;1.078;234;-0.56;-0.03;0.725;1;0;0
;7562636;1;0.592825;0.8;15.68;0.28;0.37;2.164;237;-0.8;-0.77;1.772;1;0;0
;7567994;1;0.648395;0.7;16.37;0.21;0.25;1.166;245;-0.37;-0.63;0.864;1;0;0
;7568311;1;0.636487;0.45;15.98;0.14;0.16;0.976;252;0.05;0.62;0.693;1;0;0
;7576482;5;0.262927;0.67;16.51;0.23;0.27;0.808;234;1.05;0.88;0.609;1;0;0
;7580734;2;0.314956;0.44;15.7;0.15;0.2;1.524;387;-0.13;-1.34;1.384;1;0;0
;7581097;1;0.663118;0.75;16.94;0.24;0.25;0.937;321;0.29;1.29;0.623;1;0;0
;7584848;1;0.764429;0.31;14.44;0.1;0.14;2.092;323;-0.71;-0.66;1.822;2;9 1;1
;7585538;1;0.630395;0.37;16.47;0.11;0.13;0.664;293;-0.09;-0.31;0.417;1;0;0
;7588306;0;3.527697;0.4;14.42;0.14;0.16;2.256;381;0.74;0.93;2.059;1;0;0
;7593064;1;0.745896;0.35;16.02;0.11;0.15;0.908;478;0.07;-1.02;0.713;1;0;0
;7598693;1;0.622965;0.34;15.73;0.11;0.12;1.088;104;-0.69;-0.18;0.774;2;11;0
;7601233;1;0.522286;0.83;15.93;0.27;0.33;1.979;462;-0.44;-0.92;1.676;1;0;0
;7602264;5;0.336994;0.58;16.38;0.18;0.15;0.742;443;2.22;5.43;0.31;2;4;0
;7608854;1;0.55145;0.69;16.85;0.21;0.21;0.784;223;-0.78;0.38;0.333;2;0;0
;7611453;6;0.069837;0.42;15.22;0.23;0.18;1.714;220;4.68;34.76;1.443;1;0;0
;7630668;1;0.618614;0.43;15.19;0.15;0.21;1.556;193;0.08;-1.28;1.439;2;11;0
;7633058;5;0.270434;0.32;14.94;0.11;0.14;1.338;193;0.89;-0.13;1.121;1;0;0
;7644368;2;0.209264;0.56;14.05;0.16;0.18;2.594;253;0.2;-0.13;2.389;2;5;0
;7644672;2;0.285774;0.5;16.47;0.17;0.23;1.009;273;-0.23;-1.01;0.847;2;0;0
;7649575;1;0.642928;0.8;15.71;0.24;0.28;2;281;-0.46;-0.73;1.772;1;0;0
;7651171;1;0.62173;0.43;15.91;0.15;0.19;1.26;333;0.12;-1.08;1.086;1;0;0
;7657340;1;0.495484;0.82;16.28;0.27;0.34;1.732;482;-0.67;-0.5;1.328;1;0;0
;7657552;1;0.504539;0.82;16.22;0.26;0.29;1.763;429;-1.04;0.17;1.361;1;0;0
;7657773;1;0.630302;0.82;16.67;0.27;0.27;1.409;422;0.34;3.12;0.954;1;0;0
;7661142;1;0.549369;0.74;16.73;0.23;0.27;1.184;489;-0.47;-0.61;0.901;1;0;0
;7663665;5;0.276384;0.69;15.01;0.22;0.29;2.148;490;0.95;-0.23;1.911;1;0;0
;7667538;6;0.053153;0.48;15.73;0.16;0.19;1.514;344;-0.56;-0.69;1.311;1;0;0
;7673372;1;0.584005;0.49;16.91;0.17;0.18;0.645;279;-0.01;0.11;0.363;2;0;0
;7673657;1;0.621032;0.6;16.8;0.2;0.25;0.923;211;-0.04;-0.45;0.706;1;0;0
;7673910;1;0.776527;0.4;15.86;0.13;0.18;1.295;301;-0.31;-1.15;1.091;1;0;0
;7679659;4;0.440932;0.61;15.24;0.22;0.24;1.837;295;2.23;7.06;1.547;1;0;0
;7679709;0;0.613384;0.51;16.25;0.17;0.21;1.215;237;0.07;-0.86;0.987;2;1;0
;7682813;0;461.744415;0.73;16.78;0.19;0.11;1.516;279;-2.23;5.04;0.01;1;0;0
;7685659;2;0.25238;0.41;16.18;0.15;0.18;1.033;393;0.49;1.98;0.848;1;0;0
;7687811;1;0.469814;0.82;16.79;0.26;0.31;1.314;433;-0.33;-0.74;0.985;1;0;0
;7691010;1;0.51393;0.88;16.91;0.28;0.31;1.281;402;-0.54;-0.18;0.765;1;0;0
;7699470;1;0.582558;0.64;15.96;0.19;0.24;1.571;424;-0.42;-0.85;1.352;1;0;0
;7700211;1;0.60042;0.59;16.91;0.2;0.22;0.686;407;0.19;1.07;0.436;1;0;0
;7701242;5;0.293471;0.37;14.06;0.12;0.15;2.346;405;0.31;-1;2.151;1;0;0
;7703790;7;279.978699;1.62;15.13;0.51;0.64;3.151;473;0.2;-1.01;2.848;1;0;0
;7704199;6;0.065025;0.49;16.23;0.17;0.21;1.201;238;-0.22;-0.86;1.049;1;0;0
;7705899;1;0.658145;0.42;15.19;0.14;0.17;1.818;479;-0.22;-1.11;1.649;1;0;0
;7706724;1;0.667327;0.37;14.05;0.12;0.16;2.386;454;-0.23;-1.13;2.194;1;0;0
;7707014;1;0.455242;0.85;15.32;0.25;0.28;2.433;485;-1;0.17;1.929;1;0;0
;7708125;5;0.288096;0.39;16.03;0.13;0.17;1.016;470;0.68;-0.37;0.783;1;0;0
;7712495;1;0.56248;0.75;15.61;0.24;0.3;2.146;457;-0.68;-0.7;1.888;1;0;0
;7716220;1;0.563335;0.69;16.11;0.22;0.22;1.725;459;-0.82;-0.09;1.269;1;0;0
;7723123;2;0.400058;0.43;15.51;0.15;0.2;1.625;451;-0.03;-1.47;1.468;1;0;0
;7723614;1;0.560909;0.68;16.02;0.22;0.26;1.728;533;-0.45;-0.62;1.388;1;0;0
;7724094;2;0.325338;0.52;16.9;0.17;0.21;0.563;274;-0.07;-0.83;0.379;1;0;0
;7735376;1;0.565169;0.75;15.98;0.24;0.29;1.748;283;-0.46;-0.94;1.453;1;0;0
;7735416;5;0.218436;0.53;16.67;0.19;0.19;0.709;335;0.83;1.59;0.42;1;0;0
;7736895;2;0.286974;0.36;15.52;0.12;0.17;1.34;354;0.17;-1.22;1.176;1;0;0
;7739143;5;0.242725;0.46;14.62;0.15;0.17;2.071;230;0.85;-0.26;1.861;1;0;0
;7741931;5;0.285343;0.76;14.18;0.28;0.31;2.745;237;1.57;5.03;2.565;1;0;0
;7742091;5;0.325238;0.33;14.18;0.1;0.12;2.096;248;0.56;-0.62;1.832;1;0;0
;7744346;7;236.882599;1.21;15.11;0.4;0.52;2.85;269;0.18;-1.17;2.628;1;0;0
;7752987;7;155.106003;1.54;14.74;0.52;0.67;3.282;250;0.58;0.26;3.053;1;0;0
;7753267;1;0.714493;0.34;15.49;0.1;0.13;1.336;242;0.21;-0.83;1.011;2;11;0
;7757410;5;0.591127;0.26;14.43;0.23;0.1;1.911;235;7.77;77.92;1.457;2;4;0
;7763356;5;0.27279;0.27;15.04;0.15;0.09;1.461;234;5.25;41.55;1.066;2;2;0
;7768549;2;0.301092;0.56;16.84;0.19;0.24;0.696;212;0.26;0.01;0.547;1;0;0
;7769095;1;0.624352;0.39;15.33;0.12;0.14;1.597;247;-0.53;-0.51;1.298;1;0;0
;7772022;5;0.280143;0.5;15.42;0.17;0.24;1.746;180;0.39;-1.16;1.605;1;0;0
;7775137;2;0.32636;0.49;16.79;0.17;0.2;0.504;151;-0.09;-0.43;0.292;1;0;0
;7776100;5;0.260878;0.61;15.55;0.2;0.26;1.725;255;0.67;-0.75;1.524;1;0;0
;7776303;1;0.492339;0.96;16.36;0.33;0.41;1.785;129;-0.12;-1.1;1.54;1;0;0
;7778095;4;0.540817;0.45;16.29;0.13;0.08;0.639;264;2.58;6.78;-0.149;1;0;0
;7779525;5;0.302938;0.61;15.8;0.21;0.23;1.431;167;1.18;0.03;1.12;1;0;0
;7779915;2;0.350403;0.38;16.48;0.14;0.17;0.735;253;1.13;4.63;0.52;1;0;0
;7780315;5;0.34183;0.5;14.33;0.17;0.21;2.477;277;0.88;0.13;2.21;1;0;0
;7787834;1;0.46597;0.94;15.93;0.31;0.37;2.377;281;-1.1;-0.06;1.903;1;0;0
;7792311;2;0.399834;0.45;15.81;0.14;0.16;1.349;243;-0.49;-0.01;0.947;1;0;0
;7797681;4;0.751493;0.23;14.54;0.12;0.07;1.695;259;4.05;18.9;0.907;1;0;0
;7801378;9;1.095718;1.09;15.72;0.37;0.53;2.534;255;-0.77;-0.83;2.269;2;1;0
;7805413;1;0.523179;0.84;16.44;0.26;0.26;1.655;237;-0.61;-0.41;1.235;1;0;0
;7806051;5;0.344076;0.39;14.49;0.13;0.17;1.982;244;0.57;-0.95;1.835;1;0;0
;7810484;1;0.477397;0.8;16.36;0.26;0.29;1.662;236;-0.88;-0.03;1.283;1;0;0
;7811366;1;0.489522;0.81;15.79;0.25;0.28;2.014;253;-0.8;-0.1;1.598;1;0;0
;7813329;5;0.296476;0.32;14.54;0.1;0.1;1.906;55;0.79;-0.41;1.681;3;0;0
;7819052;1;0.542372;0.68;15.44;0.21;0.24;2.043;294;-0.81;-0.27;1.659;1;0;0
;7820016;1;0.603791;0.5;16.45;0.17;0.21;0.926;269;0.28;-0.17;0.729;1;0;0
;7824100;4;1.472112;0.51;16.07;0.17;0.15;0.922;286;1.41;3.12;0.504;1;0;0
;7826974;5;0.271156;0.44;15.26;0.14;0.19;1.64;270;0.55;-0.87;1.459;1;0;0
;7827663;2;0.39083;0.42;15.1;0.12;0.14;1.73;385;-0.32;-0.2;1.386;1;0;0
;7830410;1;0.563899;0.95;15.79;0.3;0.25;1.618;40;0.74;0.73;1.275;2;0;0
;7834923;6;0.048353;0.3;14.85;0.16;0.11;1.78;369;6.73;80.52;1.384;1;0;0
;7836810;1;0.547261;0.63;15.77;0.2;0.23;1.589;362;0.09;-0.47;1.28;2;0;0
;7837779;5;0.268641;0.61;16.92;0.22;0.24;0.766;246;0.98;0.37;0.542;1;0;0
;7838350;5;0.301517;0.32;16.03;0.12;0.12;0.746;362;1.76;8.71;0.48;2;0;0
;7844345;1;0.558228;0.74;16.67;0.22;0.26;1.187;437;-0.47;-0.47;0.888;1;0;0
;7846640;1;0.551498;0.87;16.65;0.26;0.25;1.459;447;-0.87;0.4;0.864;1;0;0
;7849619;1;0.543892;0.71;14.24;0.23;0.3;3.005;445;-0.62;-0.85;2.777;1;0;0
;7852994;1;0.643851;0.53;16.51;0.2;0.22;1.014;448;3.19;38.07;0.722;1;0;0
;7853020;1;0.470658;0.88;14.74;0.29;0.38;2.975;466;-0.92;-0.34;2.689;1;0;0
;7856049;1;0.541362;0.68;14.88;0.22;0.28;2.376;253;-0.61;-0.86;2.132;1;0;0
;7862277;2;0.424847;0.53;15.15;0.17;0.21;2.117;231;-0.72;-0.59;1.729;2;1;0
;7862348;1;0.536482;0.72;14.35;0.24;0.28;2.888;286;-0.65;-0.51;2.55;1;0;0
;7862869;2;0.29531;0.46;14.87;0.17;0.25;2.228;270;-0.26;-1.55;2.134;1;0;0
;7864388;7;143.895203;1.33;16.45;0.41;0.4;1.582;171;0.96;0.61;1.302;1;0;0
;7868255;1;0.666414;0.45;15.63;0.15;0.21;1.568;241;-0.66;-0.64;1.372;1;0;0
;7870525;5;0.225559;0.47;15.84;0.16;0.2;1.246;273;0.63;-0.8;1.05;1;0;0
;7874933;1;0.526279;1.01;16.4;0.35;0.49;2.056;284;-0.59;-1.06;1.812;1;0;0
;7876270;5;0.28105;0.3;14.57;0.1;0.13;1.815;259;0.14;-1.21;1.628;1;0;0
;7882223;5;0.3071;0.47;14.13;0.16;0.19;2.493;244;0.85;0.65;2.186;2;0;0
;7892817;2;0.35683;0.47;16.2;0.14;0.16;0.873;202;-0.45;-0.22;0.53;1;0;0
;7897530;1;0.553691;0.8;16.91;0.26;0.28;0.855;297;0.06;0.4;0.528;1;0;0
;7904246;1;0.692874;0.7;15.6;0.21;0.22;1.944;192;-0.57;-0.53;1.57;1;0;0
;7907059;2;0.358507;0.4;15.05;0.12;0.13;1.716;204;-0.84;-0.31;1.423;1;0;0
;7908101;5;0.419036;0.65;15.48;0.21;0.24;1.486;242;1.15;0.34;1.222;2;4;0
;7908628;1;0.549019;0.82;15.85;0.24;0.28;1.762;263;-0.5;-0.55;1.351;1;0;0
;7912225;5;0.2641;0.35;15.18;0.12;0.14;1.444;157;0.41;-0.96;1.231;1;0;0
;7914586;5;0.597409;0.7;16.4;0.22;0.16;0.601;125;1.64;2.43;0.292;2;4;0
;7917896;4;1.081581;0.85;14.88;0.24;0.09;1.845;208;2.69;6.09;0.849;1;2;0
;7918398;5;0.249133;1;16.63;0.3;0.28;0.886;251;1.42;1.65;0.555;1;0;0
;7925995;1;0.476607;0.96;15.86;0.3;0.37;2.287;270;-0.59;-0.73;1.924;1;0;0
;7929591;2;0.342076;0.41;16.8;0.27;0.16;0.482;273;6.41;51.27;0.238;1;0;0
;7930184;5;0.24414;0.34;15.52;0.11;0.14;1.317;270;0.43;-0.82;1.08;1;0;0
;7933373;2;0.328762;0.36;14.89;0.12;0.16;1.87;328;-0.08;-1.35;1.742;2;0;0
;7933961;5;0.210959;0.52;15.7;0.24;0.23;1.645;336;3.32;21.88;1.389;1;0;0
;7939377;1;0.663159;0.7;16.7;0.32;0.27;1.132;477;-1.85;21.52;0.745;1;0;0
;7946726;5;0.2689;0.57;15.93;0.2;0.26;1.195;234;0.58;-0.92;1.031;1;0;0
;7946773;2;0.3621;0.5;14.97;0.16;0.2;1.866;218;-0.07;-0.96;1.615;1;0;0
;7949405;1;0.527533;0.86;16.43;0.28;0.31;1.522;240;-0.77;-0.56;1.166;1;0;0
;7950636;5;0.430047;0.57;15.76;0.16;0.14;1.036;234;1.72;2.65;0.535;2;4;0
;7953994;6;0.064604;0.34;16;0.11;0.13;0.806;246;-0.4;-0.44;0.546;1;0;0
;7956170;1;0.553231;1.26;16.17;0.4;0.19;1.796;186;2.09;8.42;0.905;2;0;0
;7956265;1;0.659803;0.75;16.65;0.23;0.21;0.959;194;-0.78;0.01;0.547;1;0;0
;7957197;1;0.606466;0.93;16.94;0.28;0.26;0.837;189;0.81;2.03;0.449;1;0;0
;7971824;5;0.27549;0.33;14.22;0.12;0.15;1.948;199;0.48;-0.2;1.73;1;0;0
;7977207;2;0.358098;0.53;14.98;0.18;0.25;1.88;218;-0.42;-1.15;1.742;1;0;0
;7984971;2;0.272838;0.26;15.41;0.12;0.11;1.191;323;4.17;32.45;0.975;1;0;0
;7990577;1;0.613319;0.61;16.96;0.19;0.21;0.802;332;0.17;-0.08;0.496;1;0;0
;7992141;4;0.688642;0.47;15.07;0.15;0.17;1.727;324;2.17;3.84;1.13;1;0;0
;7996831;2;0.113054;0.29;15.41;0.16;0.12;1.291;375;6.21;60.42;0.963;2;5;0
;7997579;1;0.486694;0.92;16.89;0.28;0.33;1.324;465;-0.41;-0.65;0.869;1;0;0
;8000465;1;0.70084;0.38;15.82;0.13;0.16;1.103;505;0.22;0.03;0.91;2;11;0
;8003415;1;0.640892;0.53;15.39;0.18;0.23;1.859;296;0.18;-1.25;1.593;1;0;0
;8008705;5;0.296773;0.45;14.45;0.15;0.18;2.283;308;0.45;-0.49;2.115;1;0;0
;8010233;1;0.732548;0.45;15.33;0.13;0.16;1.763;490;-0.48;-0.53;1.436;1;0;0
;8013409;1;0.708755;0.71;14.61;0.23;0.27;2.694;378;-0.87;1.24;2.494;1;0;0
;8015684;2;0.365529;0.41;15.46;0.15;0.2;1.635;367;-0.11;-1.27;1.44;1;0;0
;8021895;5;0.266126;0.62;15.97;0.2;0.24;1.316;466;1;0.65;1.04;1;0;0
;8025716;5;0.302581;0.44;15.77;0.14;0.2;1.325;366;0.59;-0.96;1.143;1;0;0
;8027142;3;2.306298;0.26;14.93;0.11;0.1;1.362;373;3.84;15.64;0.068;1;0;0
;8027315;1;0.480501;0.9;16.01;0.29;0.36;2.135;472;-0.78;-0.48;1.758;1;0;0
;8029443;5;0.304456;0.52;15.37;0.18;0.22;1.78;366;0.86;-0.29;1.541;1;0;0
;8032669;5;0.256804;0.54;16.69;0.18;0.22;0.784;410;0.49;-0.47;0.495;1;0;0
;8036191;2;0.363861;0.43;15.2;0.16;0.22;1.884;438;0.02;-1.62;1.803;1;0;0
;8037245;2;0.299589;0.44;16.05;0.15;0.21;1.235;454;-0.19;-1.25;1.1;1;0;0
;8044046;1;0.547954;0.78;16.49;0.25;0.28;1.526;436;-0.72;-0.22;1.162;1;0;0
;8044339;0;-9.9;0.4;16.72;0.12;0.15;0.495;200;-0.83;0.18;0.157;1;0;0
;8052673;1;0.562212;0.94;15.33;0.31;0.37;2.552;285;-0.67;-0.75;2.308;1;0;0
;8053621;0;0.400139;0.42;15.05;0.15;0.17;1.802;261;0.87;0.9;1.581;1;0;0
;8057988;1;0.639647;0.7;16.38;0.22;0.25;1.331;240;-0.46;-0.38;1.053;1;0;0
;8071805;2;0.360984;0.37;14.98;0.13;0.17;1.875;233;-0.17;-1.33;1.743;1;0;0
;8071882;1;0.528105;0.79;15.15;0.26;0.25;2.719;226;-0.49;0.4;2.184;1;0;0
;8075268;1;0.438578;0.61;16.91;0.19;0.2;0.605;121;0.16;0.28;0.221;1;0;0
;8076395;5;0.361883;0.59;14.21;0.19;0.22;2.598;205;0.58;-0.64;2.368;1;0;0
;8076889;1;0.642256;0.8;16.82;0.25;0.3;1.162;188;-0.38;-0.88;0.907;1;0;0
;8078575;2;0.343167;0.44;16.49;0.15;0.18;0.846;223;0.17;-0.82;0.697;1;0;0
;8078628;5;0.940526;0.4;15.51;0.13;0.15;1.341;174;0.97;0.3;1.146;1;0;0
;8085093;2;0.292651;0.46;15.7;0.16;0.23;1.446;249;0.38;-1.15;1.313;1;0;0
;8085095;5;0.291226;0.36;16.44;0.12;0.12;0.487;325;1.35;5.56;0.163;2;0;0
;8085222;6;0.05736;0.56;16.42;0.18;0.22;1.222;246;-0.66;-0.82;0.969;1;0;0
;8088756;1;0.463878;1.09;16.95;0.38;0.49;1.726;220;-0.59;-1.06;1.514;1;0;0
;8095807;5;0.329386;0.51;15.67;0.17;0.24;1.592;272;0.25;-1.27;1.426;1;0;0
;8096970;2;0.358816;0.41;16.59;0.13;0.16;0.598;281;-0.05;-0.71;0.335;2;0;0
;8097511;2;0.342761;0.37;16.25;0.13;0.16;0.81;272;0.04;-0.77;0.628;1;0;0
;8099074;1;0.481263;0.98;16.66;0.36;0.39;1.519;274;0.53;1.93;1.143;1;0;0
;8100474;1;0.541738;0.7;16.35;0.22;0.26;1.45;236;-0.4;-0.62;1.08;1;0;0
;8107761;1;0.569056;0.6;16.45;0.2;0.26;1.201;204;-0.17;-1.15;1.012;1;0;0
;8119639;2;0.417507;0.39;15.67;0.17;0.16;1.231;291;5.8;67.48;0.939;2;1;0
;8124486;3;0.29358;0.54;15.61;0.31;0.14;1.377;247;5.12;30.77;0.672;1;0;0
;8125320;2;0.258142;0.34;14.65;0.12;0.16;2.062;178;-0.04;-1.44;1.912;1;0;0
;8127317;1;0.632086;0.44;14.8;0.14;0.16;2.075;204;-1.38;3.9;1.741;1;0;0
;8129190;1;0.532312;0.66;14.38;0.23;0.3;2.8;187;-0.67;-0.38;2.583;1;0;0
;8130793;1;0.64062;0.4;14.91;0.12;0.14;1.87;256;-0.11;-0.15;1.461;1;0;0
;8132908;1;0.61554;0.51;15.6;0.17;0.24;1.738;248;-0.19;-1.3;1.624;1;0;0
;8133468;2;0.292985;0.68;16.8;0.24;0.26;0.914;223;0.81;2.16;0.66;1;0;0
;8133488;5;0.24811;0.62;15.3;0.22;0.27;1.888;253;0.73;-0.61;1.716;1;0;0
;8140987;2;0.273727;0.41;15.2;0.14;0.19;1.71;486;0.42;-1.07;1.536;2;0;0
;8144801;4;1.365653;0.66;14.5;0.2;0.12;2.211;347;2.49;5.69;1.63;2;5;0
;8145151;1;0.620431;0.41;16.28;0.13;0.15;0.871;359;0.05;-0.62;0.529;1;0;0
;8153152;1;0.588595;0.62;16.11;0.2;0.23;1.511;445;-0.53;-0.73;1.2;1;0;0
;8153673;2;0.359835;0.35;14.99;0.11;0.15;1.809;442;-0.36;-0.99;1.6;1;0;0
;8154564;1;0.680372;0.66;16.77;0.2;0.25;1.027;455;-0.24;-0.88;0.741;1;0;0
;8155947;1;0.526446;0.64;14.57;0.22;0.24;2.714;211;-1.27;0.99;2.289;1;0;0
;8168422;5;0.26692;0.38;14.7;0.17;0.16;1.92;262;4.28;34.63;1.712;1;0;0
;8171777;1;0.551874;0.85;14.29;0.27;0.31;2.945;235;-0.46;-0.67;2.67;1;0;0
;8173247;1;0.595809;0.89;16.15;0.36;0.34;1.74;241;1.86;10.59;1.399;1;0;0
;8174779;5;0.282289;0.61;15.2;0.21;0.28;1.915;268;0.66;-0.92;1.721;1;0;0
;8175323;4;0.970258;0.46;15.84;0.15;0.16;1.129;218;1.1;0.06;0.876;2;4;0
;8175767;1;0.570768;0.96;16.93;0.34;0.32;1.196;273;1.11;4.66;0.779;1;0;0
;8185242;1;0.647804;0.48;15.26;0.15;0.2;1.721;297;-0.47;-0.93;1.542;1;0;0
;8189653;5;0.288692;0.4;15.07;0.14;0.16;1.699;245;0.3;-1.13;1.531;1;0;0
;8204721;1;0.537985;0.69;16.54;0.22;0.24;1.23;199;-0.73;-0.34;0.871;1;0;0
;8205369;1;0.689844;0.58;16.01;0.18;0.23;1.266;175;-0.07;-0.84;0.984;1;0;0
;8206105;5;0.613267;0.32;14.62;0.11;0.14;1.786;319;0.22;-1.28;1.654;1;0;0
;8207815;1;0.517241;0.91;15.97;0.28;0.34;1.99;254;-0.94;-0.05;1.611;1;0;0
;8209250;5;0.225435;0.46;14.74;0.15;0.16;1.97;302;0.71;-0.46;1.714;1;0;0
;8214374;1;0.487297;0.9;16.62;0.3;0.33;1.221;264;-0.13;-0.31;0.875;1;0;0
;8215687;3;0.743727;0.27;15.43;0.11;0.06;0.913;263;3.54;15.45;-0.05;2;3;0
;8222011;2;0.350919;0.54;15.86;0.17;0.21;1.276;264;-0.12;-0.75;0.969;1;0;0
;8223829;5;0.295675;0.61;15.07;0.2;0.26;1.928;192;0.46;-1.01;1.748;1;0;0
;8224922;2;0.349489;0.39;15.69;0.12;0.14;1.008;107;-0.24;-0.86;0.829;1;0;0
;8229040;1;0.640532;0.67;15.85;0.22;0.27;1.686;238;-0.58;-0.89;1.336;1;0;0
;8230589;2;0.407114;0.4;16.25;0.14;0.17;0.822;162;0.07;-0.68;0.659;1;0;0
;8242999;5;0.335596;0.33;14.67;0.11;0.13;1.72;172;0.54;-0.08;1.504;1;0;0
;8244316;5;0.260801;0.44;16.57;0.26;0.16;0.839;223;3.7;16.9;0.463;1;0;0
;8244381;1;0.601931;0.88;16.14;0.27;0.27;1.952;45;-0.94;0.28;1.269;3;0;0
;8245347;5;0.272885;0.56;16.16;0.2;0.26;1.335;270;0.47;-1.02;1.167;1;0;0
;8245702;2;0.280386;0.64;16.75;0.21;0.23;0.849;273;0.52;1.37;0.603;3;0;0
;8249262;1;0.474779;0.95;14.35;0.31;0.36;3.234;251;-0.76;-0.54;2.954;1;0;0
;8250507;1;0.566088;0.83;14.72;0.26;0.31;2.809;449;-0.73;-0.34;2.448;1;0;0
